"Symbol";"Value";"Unit";
"Compliance";"RoHS / Lead free";"";
"Culus";"E323964";"";
"Operating_Temperature";"-25 °C up to +85 °C";"";
"Insulator_Material";"PA9T";"";
"Withstand_Voltage_Culus_KVAC_min";"0.8";"";
"Insulation_Resistance";">1000 (MΩ)";"";
"Contact_Type";"Stamped";"";
"Working_Voltage_cULus_VAC";"100";"";
"Pitch";"2.00 (mm)";"";
"REFERENCE";"620302124022";"";
"TraceParts.InstanceId";"90-27012022-0620602N3XX9WWY2MK673V115V3T3RA";"";
"TraceParts.PartTitle";"Wire to Board - Wire to Board - 2.00 mm - PCB";"";
"Orientation_1";"Vertical";"";
"DESIGN";"WTB -  SMT Male Vertical Shrouded Header_2.00 mm";"";
"TraceParts.PartNumber";"90-27012022-062060";"";
"SUPPLIER";"WÜRTH ELEKTRONIK";"";
"Contact_Material";"Copper Alloy";"";
"TRACEPARTS";"TRACEPARTS";"";
"Solder_Profile";"JEDEC lead free reflow soldering process";"";
"Packaging";"Tape and Reel with Cap";"";
"Insulator_Flammability_Rating";"UL94 V-0";"";
"Rated_Current_cULus_A";"2";"";
"Insulator_Colour";"Beige";"";
"Contact_Resistance_cULus_mOHM";"20";"";
"Contact_Plating";"Tin";"";
"Gender_1";"Male";"";
"TraceParts.PartVersion";"1.0.2";"";
"TraceParts.PartLanguage";"en";"";
"Quality_Class";"25 Mating cycles";"";
"Standard_Polarities";"02;03;04;05;06;07;08;09;10";"";
